significance,iter,fold,reg_mean_errors,reg_median_size,reg_q1_size,reg_q3_size,reg_median_size_rel,reg_q1_size_rel,reg_q3_size_rel
0.05,1.5,4.5,0.04417753374513841,0.7801526103009745,0.5170284225891405,1.1669162771413468,140.67827406383327,94.55504038608828,220.63214897168018
0.1,1.5,4.5,0.0976864561885152,0.4944959443154458,0.32807843687044574,0.7415301344539713,89.17880359467884,59.85026186271718,139.5299061415281
0.2,1.5,4.5,0.19565030885380913,0.24600774763781197,0.16340237287897794,0.3681762774282407,44.4117152574663,29.76081127578384,69.44993520520794
0.3,1.5,4.5,0.29815831617478833,0.11810277502581874,0.07843857894417011,0.17621429762413288,21.23557315185245,14.313180852194481,33.195189253387035
0.4,1.5,4.5,0.3991048959048273,0.0901260666981967,0.059814879863491745,0.13450562686891565,16.18393747470892,10.900729278873554,25.29194443999389
0.5,1.5,4.5,0.497057309540151,0.07867761017154867,0.05223659774095624,0.11744183187897198,14.124722440503373,9.51547196805702,22.079632864901022
0.6,1.5,4.5,0.5955587966140471,0.0698635445400796,0.04637473750683102,0.10425606835526254,12.54041086061384,8.447929869906348,19.610806477243433
0.7,1.5,4.5,0.6975406085563945,0.06200321898783949,0.04115993967958468,0.09253082395487312,11.126247804891488,7.498577933349781,17.40295264633371
0.8,1.5,4.5,0.8014012811713564,0.05189974377226142,0.03442467821219922,0.07747206189870917,9.312328210708412,6.2719055168183795,14.570630136798911
0.9,1.5,4.5,0.9065888812628689,0.038467786078745424,0.025552803265030705,0.05736218754635627,6.902454620739588,4.654580358107266,10.794825626071377
