,significance,output,reg_mean_errors,reg_median_size,reg_q1_size,reg_q3_size,reg_median_size_rel,reg_q1_size_rel,reg_q3_size_rel
0,0.05,0,0.032258064516129004,0.5024722965934735,0.338607103564593,0.747449960822352,159.63564082715723,114.91839390016898,208.7120436672825
1,0.1,0,0.032258064516129004,0.41914568166511523,0.28245478646767463,0.6234979031946848,133.16274339136456,95.86110293781357,174.10064675748475
2,0.2,0,0.09677419354838712,0.2360270559380946,0.15905441616562638,0.35110077691840524,74.98588595364645,53.98078733748737,98.03861733190641
3,0.3,0,0.18279569892473113,0.19422546343516667,0.13088506980013825,0.2889190429393399,61.70550402604452,44.42051524791519,80.6754793858325
4,0.4,0,0.34408602150537637,0.1697712582141544,0.11440581779759379,0.25254232155926454,53.93639367341259,38.827693500017936,70.51793003925447
5,0.5,0,0.5053763440860215,0.15127304980601253,0.1019402056381184,0.2250254111869187,48.05950578644288,34.59704354238626,62.83432458036449
6,0.6,0,0.6559139784946236,0.13379120056913896,0.09015949976600979,0.19902038043041687,42.50551559695008,30.59884095425078,55.5728844849652
7,0.7,0,0.7956989247311828,0.11533323701297898,0.0777210078932753,0.1715633360710655,36.641413514849,26.37739523292003,47.90599554032124
8,0.8,0,0.8494623655913979,0.09838168304752198,0.06629765853038261,0.14634714319185912,31.255898335927153,22.500474318017485,40.864824324609074
9,0.9,0,0.956989247311828,0.062282592983582075,0.04197112667830433,0.09264813602879451,19.78720361444156,14.244398352178026,25.870336244662546
10,0.05,0,0.032258064516129004,0.41503061914932493,0.29740217487832815,0.5276459257179038,120.14521185628688,85.9635915548664,156.5071982066034
11,0.1,0,0.08602150537634412,0.28765612181015066,0.20612830065105153,0.36570935655793035,83.27218306802517,59.58103383848833,108.47453559874856
12,0.2,0,0.20430107526881724,0.2232557997990955,0.15998039024335836,0.2838345117724945,64.62924451209308,46.24205902090173,84.18930579519301
13,0.3,0,0.3763440860215054,0.18938945873343604,0.1357124856035935,0.240778804415542,54.82544080606585,39.22746256343241,71.41837779821893
14,0.4,0,0.4731182795698925,0.17060188122785414,0.12224970441817717,0.2168933649623075,49.38671562405124,35.33606861687119,64.33362072050053
15,0.5,0,0.5376344086021505,0.15973418632658004,0.11446214381318447,0.20307680620248414,46.24067905214886,33.085087502391296,60.235435185542116
16,0.6,0,0.5806451612903225,0.1482797770285018,0.10625415606476879,0.18851433269143525,42.9247973597885,30.712582638965802,55.916000850725254
17,0.7,0,0.6344086021505376,0.13510933615002202,0.09681649633403688,0.17177019587646436,39.11214996324466,27.984643185737664,50.94945451430915
18,0.8,0,0.8279569892473118,0.10500010352350586,0.0752408562393439,0.1334910588951088,30.395973455213408,21.748241204502055,39.5953244306407
19,0.9,0,0.9032258064516129,0.06277423946813887,0.04498269400562094,0.07980753748553249,18.17221176470179,13.002171003351728,23.672037400146543
20,0.05,0,0.021505376344086002,0.4216835567393623,0.3073765546432272,0.6203553709952305,118.3081457512584,93.36970640113415,164.1165472428868
21,0.1,0,0.043010752688172005,0.3278269011341553,0.23896189874974189,0.48227912998987493,91.97558733487759,72.58784702437153,127.58813628753154
22,0.2,0,0.19354838709677424,0.2369614329572413,0.17272760030986511,0.34860334320460606,66.48224076961135,52.46830015068592,92.22387637634701
23,0.3,0,0.3870967741935484,0.19367289470674903,0.14117341345500023,0.28491986117871404,54.33714615814743,42.883297267870304,75.37625374719727
24,0.4,0,0.5161290322580645,0.17177537546041094,0.12521171916172857,0.2527055538887252,48.19354663385294,38.03472086438608,66.85387910285007
25,0.5,0,0.5806451612903225,0.1584445898194506,0.11549454879660935,0.23309410748587833,44.45344222289454,35.083001449435656,61.66562246712426
26,0.6,0,0.6881720430107527,0.14410663847219102,0.10504322809574823,0.21200097974782328,40.430765951420916,31.908274130118297,56.08538337067035
27,0.7,0,0.7741935483870968,0.12273794579729391,0.08946700979966798,0.1805646501585897,34.43553477132974,27.17679117484524,47.768824650629746
28,0.8,0,0.8494623655913979,0.10000708708883349,0.07289787182351704,0.1471243842014257,28.05813232783349,22.14369569380321,38.922119609664115
29,0.9,0,0.9247311827956989,0.06627822415588402,0.048311990978341796,0.09750451891711265,18.59511398594917,14.67540820911928,25.795061562186916
30,0.05,0,0.010752688172043001,0.44295972734413436,0.33517697962403925,0.6363410861905454,138.50107626415232,96.25275434930961,171.15528784888622
31,0.1,0,0.053763440860215006,0.3071439348791156,0.23240843365122635,0.44123267437802816,96.03528926618463,66.74071679394928,118.67739963735715
32,0.2,0,0.20430107526881724,0.21503514861421436,0.16271192881948843,0.30891228161698603,67.23545658712356,46.72597542925444,83.08746932675585
33,0.3,0,0.33333333333333337,0.18542933280270368,0.14030991953863453,0.2663815596842949,57.97854879065725,40.29279168656538,71.6480728886152
34,0.4,0,0.3763440860215054,0.16529192362384437,0.12507242599381013,0.23745283312314783,51.68214604279119,35.91704152402653,63.86717577364841
35,0.5,0,0.5268817204301075,0.15182167212587316,0.11487981042820011,0.21810192165119033,47.47037640584537,32.99002868646814,58.662402901054946
36,0.6,0,0.5913978494623655,0.13995613524190054,0.10590144384342526,0.20105628936707276,43.76035599668647,30.41171166030564,54.077675993635346
37,0.7,0,0.6666666666666667,0.12458695573691658,0.09427195509358648,0.17897744161561338,38.95484486026771,27.072072031409082,48.13917599060207
38,0.8,0,0.8064516129032258,0.09339876416051585,0.07067260010212795,0.13417353173640423,29.203172567250917,20.295046588483658,36.088365099168634
39,0.9,0,0.9247311827956989,0.06680497566468557,0.050549719500235415,0.09596978721357319,20.888041187932117,14.51636010008876,25.81278643135888
40,0.05,0,0.053763440860215006,0.3276693656405199,0.23050955799384876,0.4684608596084616,97.55108802987117,70.68260555099232,134.47252243742932
41,0.1,0,0.13978494623655913,0.29082788900707507,0.20459223588466863,0.4157895035931943,86.58293992974498,62.73541294204169,119.35311607017658
42,0.2,0,0.26881720430107525,0.20249262360683956,0.1424499512592071,0.289498740090649,60.28447521255753,43.68033066933088,83.10112792557439
43,0.3,0,0.32258064516129037,0.18493901858129744,0.13010130301823786,0.26440278129261374,55.058557111422445,39.8937864570181,75.8972883446579
44,0.4,0,0.33333333333333337,0.16871563283480828,0.11868844032881079,0.24120860438900343,50.22866119483385,36.39418809456783,69.23935863694382
45,0.5,0,0.4731182795698925,0.15156833372444972,0.10662562105673572,0.21669353119777118,45.12370522276946,32.69528942910016,62.20226330198139
46,0.6,0,0.5161290322580645,0.13900543525508846,0.09778784591827175,0.19873266322152167,41.383580136314194,29.985306470054752,57.04656422404655
47,0.7,0,0.6021505376344086,0.12106596058253233,0.08516774525878736,0.173085036048313,36.04278402749492,26.11552508358419,49.684367255448755
48,0.8,0,0.7311827956989247,0.09644922552561234,0.0678503109416361,0.13789109338914468,28.714087663550604,20.805370530135782,39.581883458078536
49,0.9,0,0.8494623655913979,0.0728036426005067,0.05121606483834712,0.10408558312612376,21.67451490112403,15.704706305235034,29.877951647954013
50,0.05,0,0.053763440860215006,0.41431909514927007,0.2890937790661637,0.6771765041884545,143.19241970179297,94.43852194171527,190.8699242241908
51,0.1,0,0.12903225806451613,0.24923718419180502,0.17390682762487533,0.40736129973438384,86.13862093715018,56.810298061471265,114.81943028332165
52,0.2,0,0.18279569892473113,0.1863119946391033,0.13000037711553708,0.30451433857430876,64.39110734741547,42.46733882103742,85.83084080643573
53,0.3,0,0.26881720430107525,0.1656715291588257,0.11559836128465112,0.2707788954764685,57.2575761380285,37.76261949970336,76.32212125115372
54,0.4,0,0.33333333333333337,0.15250519233799237,0.10641146617758063,0.24925940953994075,52.707171268794326,34.76152830380204,70.25660860468199
55,0.5,0,0.4838709677419355,0.14049362671158766,0.09803032000282491,0.2296273189219873,48.55586574947688,32.02365182829253,64.72307986374915
56,0.6,0,0.5913978494623655,0.12898413450901453,0.08999949874710739,0.2108158333159117,44.57808133808837,29.400216305681383,59.420848008438256
57,0.7,0,0.6559139784946236,0.1118734295028537,0.07806039569675144,0.18284954468492945,38.66446721476869,25.500058892998386,51.53823046513685
58,0.8,0,0.7204301075268817,0.10029108274125151,0.06997873970993293,0.1639189832356811,34.66150361005836,22.860017143563574,46.2024357247838
59,0.9,0,0.9247311827956989,0.07105026470127254,0.04957577327866569,0.11612684627711367,24.55561291318878,16.194961952063494,32.73167661933308
60,0.05,0,0.06451612903225812,0.5194098634902399,0.3609609904826073,0.7442163443821567,142.63840031261813,104.81078533592678,195.4283537819974
61,0.1,0,0.09677419354838712,0.3299064495259962,0.22926664886051315,0.47269370320486204,90.59767925275032,66.57123110804515,124.12755102433775
62,0.2,0,0.26881720430107525,0.23189871143810517,0.16115671737510562,0.3322671043127817,63.68315959927917,46.79442531355393,87.25206548059118
63,0.3,0,0.3978494623655914,0.19184202303010006,0.13331954496168963,0.27487342677507975,52.682941163022626,38.711457959433936,72.18070618654122
64,0.4,0,0.4516129032258065,0.1795145697083272,0.12475264996425016,0.2572105118180481,49.29762188947134,36.2239232500141,67.54249255538295
65,0.5,0,0.5913978494623655,0.15927364766229496,0.1106863339707066,0.22820908910574078,43.73913533687106,32.13954387124673,59.926830334597746
66,0.6,0,0.6559139784946236,0.14296230404998356,0.09935085661408011,0.20483801094880127,39.25977496397498,28.848107081035216,53.78967497003387
67,0.7,0,0.7419354838709677,0.12601725243374506,0.08757498741114322,0.18055894877531042,34.60638806155159,25.428795488603086,47.41408648994586
68,0.8,0,0.8387096774193549,0.09527309570665993,0.06620950699998872,0.13650837226758616,26.16354235769013,19.22498721010057,35.84657428057698
69,0.9,0,0.946236559139785,0.047296822297634045,0.032868663118013064,0.06776742350388398,12.988477013262287,9.54394099410849,17.79546514314503
70,0.05,0,0.043010752688172005,0.581343378023483,0.42692241239255235,0.7839430337165257,174.8664927526123,119.8374226268635,224.2305796565377
71,0.1,0,0.07526881720430112,0.40645274109338647,0.29848759151797655,0.5481025620322381,122.25986910925994,83.78567771402005,156.77332396599033
72,0.2,0,0.23655913978494625,0.2325359529444756,0.1707679381101446,0.3135753279227888,69.9461765067949,47.934680814102116,89.69169253634968
73,0.3,0,0.30107526881720426,0.2055757046383078,0.15096908139192733,0.27721936405381664,61.8366078022062,42.377127752474394,79.29282616252132
74,0.4,0,0.4301075268817204,0.18221602025511352,0.1338143787039763,0.2457187698537358,54.81007884476763,37.561790594293285,70.28273717235163
75,0.5,0,0.5806451612903225,0.1642117816010853,0.12059256644974181,0.22144000793133706,49.394453265931595,33.85041855803947,63.33830291493704
76,0.6,0,0.6559139784946236,0.142695440570907,0.10479156386552818,0.19242516696243211,42.92239693046848,29.415065974883287,55.03921187224224
77,0.7,0,0.7419354838709677,0.12628739577679116,0.0927419519993618,0.1702988765469658,37.98690208432457,26.032731415301292,48.710447265472446
78,0.8,0,0.7849462365591398,0.10874373913518037,0.07985837836842496,0.14664121064757055,32.70981831086732,22.416303199451946,41.94366459149012
79,0.9,0,0.8709677419354839,0.06648852564598329,0.0488273245009091,0.08965994706857341,19.999566052570668,13.705864466478705,25.645360744962638
80,0.05,0,0.053763440860215006,0.29899382153711956,0.20877019706483135,0.43421385584330274,90.92736406521445,56.79534109856014,116.27404601863832
81,0.1,0,0.11827956989247312,0.25468222944337476,0.17782995968431065,0.3698623345889017,77.4517134785116,48.37813710870425,99.04195716884392
82,0.2,0,0.25806451612903225,0.2114040052997122,0.14761126373722178,0.30701152221137085,64.29032163912133,40.15722642318329,82.21172903966357
83,0.3,0,0.32258064516129037,0.18524743228734747,0.12934763248805864,0.26902563218542686,56.33581533940375,35.188657244832505,72.0398446893644
84,0.4,0,0.4623655913978495,0.1622532297310381,0.11329210273045331,0.2356322954847302,49.34302125262941,30.82079582628865,63.097757015280855
85,0.5,0,0.5376344086021505,0.15335561980238094,0.10707941322181364,0.22271073912931827,46.637158592544864,29.13065123312594,59.63761492611687
86,0.6,0,0.5806451612903225,0.14385207853266682,0.1004436366914091,0.20890921882473823,43.747025436957884,27.325407013420044,55.941835564343044
87,0.7,0,0.6451612903225806,0.1270458535779861,0.08870881595943958,0.18450237422097482,38.6360645242541,24.132982253693957,49.406156118747774
88,0.8,0,0.7634408602150538,0.10574972440801828,0.07383895322891387,0.1535750650415083,32.15967353977655,20.08767819333177,41.12442276921672
89,0.9,0,0.8602150537634409,0.07944600498962223,0.05547257810355086,0.11537548160876451,24.16041837279705,15.0911578343211,30.895315470635854
90,0.05,0,0.010752688172043001,0.48269567441988875,0.3297475925600081,0.6700121894439202,134.94287178622008,91.39432622971219,174.12393435274734
91,0.1,0,0.07526881720430112,0.28597035229006024,0.19535711672683545,0.3969449738371589,79.94614956953043,54.14605734893778,103.15875092278387
92,0.2,0,0.12903225806451613,0.23287701495106555,0.15908705860056252,0.3232480565442146,65.10332459114426,44.0932848661183,84.00626774278864
93,0.3,0,0.21505376344086025,0.19598056376546674,0.1338817033483511,0.2720334437940921,54.78851684465155,37.10725521000435,70.69652501138401
94,0.4,0,0.29032258064516125,0.17741906907103183,0.12120164733342799,0.2462689127269423,49.59944735128602,33.59279383959113,64.00079381895739
95,0.5,0,0.3655913978494624,0.16265249056045333,0.11111404147273009,0.22577196584553771,45.47128831387817,30.796867616895195,58.674011576127526
96,0.6,0,0.5053763440860215,0.14694803666645279,0.10038573761908579,0.20397318848921245,41.080935922927885,27.8233626560879,53.00890736285465
97,0.7,0,0.5698924731182795,0.13277357666379103,0.09070263020915689,0.18429813962538666,37.11831011096705,25.139549043773712,47.89572140784203
98,0.8,0,0.6344086021505376,0.11154582566274229,0.07620115410525027,0.15483267581679486,31.183859413668053,21.12025468725273,40.238185370865324
99,0.9,0,0.8064516129032258,0.0754922301385284,0.051571585295606986,0.10478800014503636,21.104681214892437,14.293812591921764,27.2324879243666
100,0.05,0,0.053763440860215006,0.4153098677031613,0.29673777863187667,0.6282062889466128,111.38767210218997,75.14206157998552,165.22411669151813
101,0.1,0,0.08602150537634412,0.30029616303366624,0.21456079732248484,0.4542341823169025,80.54056294527378,54.332618918260664,119.46782906336406
102,0.2,0,0.11827956989247312,0.24487691837374603,0.17496389671237195,0.37040588751482395,65.67691261481174,44.30560868134423,97.42020520774444
103,0.3,0,0.19354838709677424,0.2093454202811894,0.14957673730352325,0.3166602091834041,56.147230884104445,37.876890691892754,83.28459022817208
104,0.4,0,0.26881720430107525,0.1899040706254561,0.13568594548980406,0.2872528219068009,50.932987618821315,34.3593650883998,75.5501729316985
105,0.5,0,0.4301075268817204,0.1689322856551761,0.12070166177787889,0.2555304665444613,45.30827583292938,30.564937649451192,67.20689742437158
106,0.6,0,0.5268817204301075,0.15261401501252098,0.10904230148289018,0.23084711312658435,40.931654131954026,27.612471086856377,60.714945119513544
107,0.7,0,0.6021505376344086,0.14144550019832075,0.10106242781672509,0.21395338680296927,37.936216357088185,25.59175043177807,56.27173743668698
108,0.8,0,0.6989247311827957,0.12498815712583293,0.08930370064628568,0.1890596695535678,33.522294906173485,22.61412147864252,49.72445748092979
