,significance,output,reg_mean_errors,reg_median_size,reg_q1_size,reg_q3_size,reg_median_size_rel,reg_q1_size_rel,reg_q3_size_rel
1774,0.4,4,0.3870967741935484,0.026491836453605644,0.015164981955110513,0.03871862418873517,9.72395640647627,5.928609876721537,18.779605376667455
1775,0.5,4,0.5483870967741935,0.020951727914279017,0.01199360324848986,0.030621587168495168,7.690432833359591,4.688788610956076,14.85231810480681
1776,0.6,4,0.6666666666666667,0.016326662689396754,0.00934603176738924,0.023861913764795295,5.992780324345134,3.6537449505915474,11.573689236749802
1777,0.7,4,0.7311827956989247,0.013495589423875243,0.007725412711386159,0.019724214137573526,4.953621220910263,3.020178872487192,9.566790288387498
1778,0.8,4,0.7849462365591398,0.010002922323466945,0.005726071003020361,0.014619575011709518,3.6716209078635798,2.2385546652018973,7.0908988954821925
1779,0.9,4,0.8279569892473118,0.006192965403718498,0.0035450999692108187,0.00905120717094654,2.2731578355481674,1.3859241477267736,4.390086228897823
1780,0.05,4,0.053763440860215006,0.12608374357084506,0.07802517946751351,0.19590809755485952,37.99875426382716,23.879047031615393,67.45522656356917
1781,0.1,4,0.08602150537634412,0.09149065711113183,0.056617726746713545,0.14215758567332404,27.573189838296212,17.327449536605414,48.94780904418109
1782,0.2,4,0.17204301075268813,0.061885980129727486,0.038297282182391645,0.09615803186967109,18.651017845169502,11.720608765752834,33.10920736116694
1783,0.3,4,0.27956989247311825,0.04279016321306173,0.02648010020631529,0.06648707622186506,12.895975728453637,8.104044906321086,22.892881131875146
1784,0.4,4,0.3870967741935484,0.03051950522837954,0.018886573361981504,0.0474210079608548,9.197880286407871,5.780100432381396,16.328037869779884
1785,0.5,4,0.4838709677419355,0.02184558535070663,0.013518838109403256,0.03394352788727689,6.583759380720937,4.137343524620059,11.687461583163609
1786,0.6,4,0.5806451612903225,0.016098104457181073,0.009962089114625372,0.0250131296004365,4.851600198864115,3.048825983160072,8.61253998849579
1787,0.7,4,0.7311827956989247,0.012690142629764423,0.007853119110469306,0.019717860763707906,3.8245185120981753,2.4033908266991206,6.789268957054582
1788,0.8,4,0.7849462365591398,0.009206851637929558,0.0056975326956133915,0.01430554596313316,2.7747343394560855,1.7436890518062176,4.925696569476813
1789,0.9,4,0.8602150537634409,0.006282160079013999,0.0038876278077299986,0.009761179314311752,1.8932992495923742,1.1897806310186356,3.3609767559002655
1790,0.05,4,0.07526881720430112,0.09669541773275843,0.05394061797810701,0.14439608760319034,30.275118639864694,19.203419835945283,48.08193350282881
1791,0.1,4,0.12903225806451613,0.0815978883922168,0.04551860500514354,0.12185081896105454,25.548116030320283,16.205095807673338,40.574665642265
1792,0.2,4,0.19354838709677424,0.06105879468959145,0.03406106717132612,0.09117961609422329,19.11737181118011,12.126093424009062,30.36157219095622
1793,0.3,4,0.34408602150537637,0.040039085044729014,0.022335422310906405,0.05979070536360723,12.536147817376248,7.951642156260802,19.909491781248747
1794,0.4,4,0.4086021505376344,0.02994752178584756,0.01670593984614621,0.04472088833866955,9.376501971812752,5.9474879718619516,14.89144764916631
