significance,iter,fold,reg_mean_errors,reg_median_size,reg_q1_size,reg_q3_size,reg_median_size_rel,reg_q1_size_rel,reg_q3_size_rel
0.05,1.5,4.5,0.04145218485472431,0.47364145244452516,0.2666631611674172,0.8038596518193286,156.94368087496008,99.91857264145614,240.22830850636745
0.1,1.5,4.5,0.09661404712880346,0.29046426195432906,0.16423456262305697,0.4936856293378491,96.16536344151007,61.19576804620239,147.84065807900518
0.2,1.5,4.5,0.19641958361930897,0.14256889421655383,0.08029120563867463,0.24102802398275483,47.12504078422397,30.019079852359795,72.48540758352406
0.3,1.5,4.5,0.2893016472203157,0.0739633345078312,0.04181156099570551,0.1254438747359675,24.47412744786049,15.623298658075504,37.61789837684643
0.4,1.5,4.5,0.3917581789064287,0.05611098816431983,0.03169312680904644,0.09552395764867996,18.58415033972276,11.823847536635364,28.54842900494856
0.5,1.5,4.5,0.5004404026538547,0.048207812036966766,0.02721450230017819,0.08205159545551756,15.961123648521227,10.159173452199699,24.513784456086285
0.6,1.5,4.5,0.6002831159917638,0.04304376356463906,0.02430929976534634,0.07329162012613258,14.264555258224984,9.073208310911273,21.90465699782955
0.7,1.5,4.5,0.699579615648593,0.037929579198929766,0.021417969801219565,0.06457893210619978,12.56357416448067,7.987499613307068,19.30571685741799
0.8,1.5,4.5,0.8069978265843053,0.03217168106537212,0.01816578060453411,0.0547292053515638,10.652996800991207,6.772340962682726,16.36726182394012
0.9,1.5,4.5,0.9022649279341115,0.0243117453807126,0.013706815818520873,0.04135642617654179,8.039508971695739,5.113931247784114,12.348390542967188
