significance,iter,fold,reg_mean_errors,reg_median_size,reg_q1_size,reg_q3_size,reg_median_size_rel,reg_q1_size_rel,reg_q3_size_rel
0.05,1.5,4.5,0.04333676504232441,0.9076330511188428,0.6016934848153228,1.3750214086349128,87.39590101336502,57.602803141599864,132.22584225840285
0.1,1.5,4.5,0.0982584076870281,0.5715745982031668,0.379240426217856,0.8680220719668531,55.10869727571012,36.33369788939622,83.24831951078036
0.2,1.5,4.5,0.1938486616334934,0.2759291156194377,0.1846123416639054,0.4205625181095976,26.684299076671277,17.700839445550066,40.32523372312189
0.3,1.5,4.5,0.2888583848089682,0.1323768358114425,0.0883516871400005,0.20191703909637604,12.811705705205469,8.480895381868532,19.36595546176081
0.4,1.5,4.5,0.38655913978494627,0.09952688811275698,0.06622036394467992,0.15144665108396863,9.617141043198137,6.353706066479864,14.544412750141728
0.5,1.5,4.5,0.48988503774879877,0.08537663215715074,0.05678760148434259,0.12983738503708114,8.246103549188096,5.449239197081736,12.467604035736096
0.6,1.5,4.5,0.5908001601464195,0.07534775406727343,0.05011647000059789,0.11453138557281317,7.2756825979439865,4.8107931550612815,10.997290078599724
0.7,1.5,4.5,0.6919583619309084,0.06654378116598914,0.04425503526409856,0.10105704254918102,6.421133220647971,4.247018672488233,9.706242935871796
0.8,1.5,4.5,0.795006863417982,0.056059777030442015,0.03724558590403038,0.0851209457230883,5.41043259660629,3.5738154404149407,8.178088685390007
0.9,1.5,4.5,0.8937628689087165,0.04270619317486698,0.02839031866505365,0.06481661566716829,4.120534427494753,2.7218410329761134,6.2294747481524375
