significance,iter,fold,reg_mean_errors,reg_median_size,reg_q1_size,reg_q3_size,reg_median_size_rel,reg_q1_size_rel,reg_q3_size_rel
0.05,1.5,4.5,0.050268817204301056,0.5278153098958486,0.3375541905427203,0.8361062276788322,160.27361638931308,102.93900360729319,264.8780962867778
0.1,1.5,4.5,0.1026881720430107,0.3242860956411353,0.2077644775943272,0.5138670036335266,98.78978959094592,63.26298525188631,162.93117660329298
0.2,1.5,4.5,0.19569892473118267,0.16290644617264688,0.1043648751226229,0.2585201050525933,49.59604806694361,31.727745472492124,82.1186678170355
0.3,1.5,4.5,0.2881720430107526,0.08377719732020898,0.05383174026900389,0.13221447187682905,25.448296624634512,16.354209580845257,42.05514692643758
0.4,1.5,4.5,0.386021505376344,0.06246286914966254,0.04013459008033971,0.09882631445530221,18.994994228418005,12.20625730570745,31.329795115397417
0.5,1.5,4.5,0.4795698924731182,0.054179194870604686,0.034798722271017504,0.0857639525077858,16.48357584802273,10.585861328007505,27.15338666587354
0.6,1.5,4.5,0.5825268817204302,0.048155938596381384,0.03094001609719858,0.07619213138679681,14.652711886951101,9.405770309390274,24.114672176419422
0.7,1.5,4.5,0.679301075268817,0.0426136639678129,0.02738576508434202,0.06744455400247742,12.967911638854392,8.323255178104166,21.344726916952
0.8,1.5,4.5,0.7793010752688169,0.03647566299352091,0.02344393680722194,0.057719417562068595,11.101324205489217,7.122174849537728,18.2802213431357
0.9,1.5,4.5,0.886021505376344,0.028011726404114423,0.018022637995896464,0.04433212700492646,8.516412086665717,5.47040033923709,14.031402703046572
